time,value
00:00:04,103
00:00:09,104
00:00:14,103
00:00:24,102
00:00:29,103
00:00:34,102
00:00:39,103
00:00:49,103
00:00:54,102
00:00:59,100
00:01:09,101
00:01:14,100
00:01:19,99
00:01:24,100
00:01:29,101
00:01:39,102
00:01:49,103
00:01:54,108
00:02:04,112
00:02:09,113
00:02:19,114
00:02:24,115
00:02:29,114
00:02:34,115
00:02:39,114
00:02:44,110
00:02:49,106
00:02:54,103
00:03:04,104
00:03:09,108
00:03:14,107
00:03:19,108
00:03:24,109
00:03:39,106
00:03:44,104
00:03:49,108
00:03:54,109
00:03:59,111
00:04:04,112
00:04:09,113
00:04:14,112
00:04:19,110
00:04:24,111
00:04:29,110
00:04:44,108
00:04:49,106
00:04:54,104
00:04:59,105
00:05:04,106
00:05:09,110
00:05:14,108
00:05:19,106
00:05:29,105
00:05:34,104
00:05:39,103
00:05:44,101
00:05:49,99
00:05:54,100
00:05:59,102
00:06:04,104
00:06:14,108
00:06:19,109
00:06:24,110
00:06:29,109
00:06:34,108
00:06:39,107
00:06:44,106
00:06:49,105
00:06:54,103
00:06:59,104
00:07:04,106
00:07:14,108
00:07:19,107
00:07:24,106
00:07:39,107
00:07:44,106
00:07:49,105
00:07:54,106
00:08:04,108
00:08:14,107
00:08:19,106
00:08:29,104
00:08:34,105
00:08:39,104
00:08:44,105
00:08:59,104
00:09:04,105
00:09:14,106
00:09:19,105
00:09:34,106
00:09:49,105
00:09:54,103
00:10:09,103
00:10:14,105
00:10:24,106
00:10:29,105
00:10:39,101
00:10:44,100
00:10:59,101
00:11:14,101
00:11:29,101
00:11:44,101
00:11:59,102
00:12:04,104
00:12:09,102
00:12:19,101
00:12:24,102
00:12:29,102
00:12:39,103
00:12:44,103
00:12:54,102
00:13:04,103
00:13:09,104
00:13:14,103
00:13:24,103
00:13:34,103
00:13:44,102
00:13:49,103
00:13:54,103
00:13:59,102
00:14:14,102
00:14:29,102
00:14:34,101
00:14:49,100
00:14:59,100
00:15:04,100
00:15:09,100
00:15:14,102
00:15:19,103
00:15:24,102
00:15:29,103
00:15:39,103
00:15:44,102
00:15:49,104
00:15:54,105
00:15:59,103
00:16:04,102
00:16:14,104
00:16:19,105
00:16:24,104
00:16:29,103
00:16:34,102
00:16:39,101
00:16:49,102
00:16:56,102
00:17:01,102
00:17:06,102
00:17:11,103
00:17:16,103
00:17:21,105
00:17:26,106
00:17:31,105
00:17:36,106
00:17:41,105
00:17:46,104
00:17:51,103
00:18:01,102
00:18:16,103
00:18:31,104
00:18:41,104
00:18:46,103
